"Path","Size","Modified","Algorithm","Checksum"
"\.disk\base_components","5","5/16/2026 10:10:55 AM","SHA256","6403203dd5a0867eb14d104ee8a73730bd72dd9ad92e78d996a6dba0a5dcfc01"
"\.disk\base_installable","0","5/16/2026 10:12:17 AM","SHA256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"\.disk\cd_type","13","5/16/2026 10:10:55 AM","SHA256","42e919327bb7e3eb5843b71d417e98036783ddb070ad6067ea7a925e7b0d7fb2"
"\.disk\id\ceae4431-902d-44e7-81b2-084efdfc27a0","0","5/16/2026 10:11:06 AM","SHA256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"\.disk\info","86","5/16/2026 10:10:55 AM","SHA256","23db6d8c389c683f4d4512b7b64fd91b797ff01cdf25e6d17212f79c4c6bb3b4"
"\.disk\mkisofs","1136","5/16/2026 10:12:45 AM","SHA256","c44b1e7e4d242cdea49a1a13c4691b09b3a5faa0b39884ef6b190012b56f299e"
"\.disk\udeb_include","34","5/16/2026 10:10:55 AM","SHA256","7877f887a1acd90a9daf350531b8c56b06eff18b382fb016a3ef993dbb630c0f"
"\boot\grub\efi.img","3686400","5/16/2026 10:11:06 AM","SHA256","64819c8a0c6fba17cf398b26bbd7d850c487d57590bc75e977c1aa9eb7960371"
"\boot\grub\font.pf2","5012","4/30/2026 7:02:01 PM","SHA256","556e49a42fc9c8b18a31472d2ca74c17f6159040147d2433025692617f39848c"
"\boot\grub\grub.cfg","6115","5/16/2026 10:11:06 AM","SHA256","6abdd000221f959b72f36c4fb9542a535c1aaa319f5264dba0eea037c64073ec"
"\boot\grub\theme\1","1418","5/16/2026 10:11:06 AM","SHA256","84a22ba8fcd30d92e75f7a3f31c918c32cb10ffef032a0279abfb080f7ce31d2"
"\boot\grub\theme\1-1","1865","5/16/2026 10:11:06 AM","SHA256","58f97e0dc92169b33feaa5f43c944916543fa0efe5e25cd81003ab988c999dee"
"\boot\grub\theme\1-1-1","2074","5/16/2026 10:11:06 AM","SHA256","09eddde45101d4a18a5dcc5798047da9145eef7e7cdbd5c35fae4145b31855cc"
"\boot\grub\theme\1-2","1880","5/16/2026 10:11:06 AM","SHA256","ba3eb736f98e1222df473beb242dd7cf21248f22bde6b3a3d09c601bfc9bd9cc"
"\boot\grub\theme\1-2-1","2074","5/16/2026 10:11:06 AM","SHA256","dbe8235965f327e977f0fd145cd3e574c719d78ceada4a547c968c3936b54d45"
"\boot\grub\theme\dark-1","1380","5/16/2026 10:11:06 AM","SHA256","e9bef42ce2c235fdf89abf9b76341ea4b6133c1eff26715d4d49ad95b0a3c8a8"
"\boot\grub\theme\dark-1-1","1827","5/16/2026 10:11:06 AM","SHA256","7e47a22ad89e8affd013ad6532111c08bc87b3b1a5d2d6130be2227514aec004"
"\boot\grub\theme\dark-1-1-1","2036","5/16/2026 10:11:06 AM","SHA256","1a169b27b21f8cd3c77fa2a643b2ab45cea66bf1cd229c2473ca517b6aef07fe"
"\boot\grub\theme\dark-1-2","1842","5/16/2026 10:11:06 AM","SHA256","c8ea5583a1f9560a2f583171df7d8c3ef06ee4aa30aa81cba9b168b67acde806"
"\boot\grub\theme\dark-1-2-1","2036","5/16/2026 10:11:06 AM","SHA256","60b5a4ca7f2a40629a48dfa1ee977767c28fb20cac153b74dc385d0b64696a4e"
"\boot\grub\theme\hl_c.png","263","5/16/2026 10:11:06 AM","SHA256","b886b176d2f6cbae86dd9200dca91eda9d307dcfe9d6ccb0723413baf6d7f4eb"
"\boot\grub\x86_64-efi\grub.cfg","27","5/16/2026 10:11:06 AM","SHA256","17ff22e334099eefd0756524277954ddafddda51be9502809a4d54a79a452edc"
"\css\debinstall-print.css","1137","6/12/2023 8:21:54 AM","SHA256","b10e84b0a49b8a30f25519860dcd6d6d4921e390c34ad70c4f2fbf897cd15a24"
"\css\debinstall.css","4501","6/12/2023 8:21:54 AM","SHA256","a4dbb17510e135397423b434f3e2c0d1451e39faabf20f6a3d8f0ae2247d195f"
"\dists\trixie\contrib\binary-amd64\Packages.gz","827","5/16/2026 10:12:25 AM","SHA256","fb8b8377fbbc5333093a314cee1699c211a22e1c7d5e1aeb936177e93ba0b5f6"
"\dists\trixie\contrib\binary-amd64\Release","119","5/16/2026 10:10:56 AM","SHA256","367403d3a85e4c5da80420fdf031be642f933b04a851ac0db79dc3845476a40c"
"\dists\trixie\main\binary-amd64\Packages.gz","98925","5/16/2026 10:12:17 AM","SHA256","ed2146dee3285e3b543b379d85a32e474eb2716bbecef57c258a53b90b875d98"
"\dists\trixie\main\binary-amd64\Release","116","5/16/2026 10:10:56 AM","SHA256","1b51ce6b4a5d7a2e316e2d6d4e91eb6518740a358e82b3e7c6847ad417a6ef16"
"\dists\trixie\main\debian-installer\binary-amd64\Packages.gz","37253","5/16/2026 10:12:17 AM","SHA256","22671f26b6d24cac019291d574fe0962a92a37d8e498157b4b2e7b16dbfc000c"
"\dists\trixie\main\debian-installer\binary-amd64\Release","116","5/16/2026 10:10:56 AM","SHA256","1b51ce6b4a5d7a2e316e2d6d4e91eb6518740a358e82b3e7c6847ad417a6ef16"
"\dists\trixie\main\i18n\Translation-ar.gz","1920","5/16/2026 10:12:24 AM","SHA256","485fa959762ec1e08dc1c98af7fb4d1f6a1c5dc7426dcccf0d691c5cbe96d035"
"\dists\trixie\main\i18n\Translation-ca.gz","1540","5/16/2026 10:12:22 AM","SHA256","abdaf4a0fca301cbb7ae6b168cfd9d65dd998babf3bf5695f9f1029c779e4575"
"\dists\trixie\main\i18n\Translation-cs.gz","15704","5/16/2026 10:12:22 AM","SHA256","e9606db6da5dcc02b6c08ce6b978a8bdf00445614711215c05d75aeceba699eb"
"\dists\trixie\main\i18n\Translation-da.gz","75405","5/16/2026 10:12:19 AM","SHA256","4bf2c460052963201d977e62e5b515b62be0bdb3ceb3c0d5b44db11990887ba8"
"\dists\trixie\main\i18n\Translation-de_DE.gz","278","5/16/2026 10:12:25 AM","SHA256","8045d9b2c2b5287b183b9ca10be9bc1953426a0b4bef1ef1fac0191aa462067d"
"\dists\trixie\main\i18n\Translation-de.gz","71743","5/16/2026 10:12:20 AM","SHA256","f72641d32b530254a737b9a5dfb038079641774684e1383bd595f5f2e8015b09"
"\dists\trixie\main\i18n\Translation-el.gz","1201","5/16/2026 10:12:24 AM","SHA256","d35c281ab44c1e13cc48d9bcfe0daef4bd8552212843f8a9ecabf449a2d1ed75"
"\dists\trixie\main\i18n\Translation-eo.gz","939","5/16/2026 10:12:23 AM","SHA256","ff0e0e5e034258e4c2181946ee14557368a1fafa03facb9c7517c82d7c657e42"
"\dists\trixie\main\i18n\Translation-es.gz","37286","5/16/2026 10:12:20 AM","SHA256","f2a497085c8d0f18ef32e420eb7ac3d01da5a85c14ace1650eb5ad8aecbc6b05"
"\dists\trixie\main\i18n\Translation-eu.gz","2277","5/16/2026 10:12:23 AM","SHA256","e317a3de864178c9b9d21646be87d68694a9fcf091df54b1be96b9877601d40a"
"\dists\trixie\main\i18n\Translation-fi.gz","16844","5/16/2026 10:12:18 AM","SHA256","40278f6575adc4c7673319fdf9f5dc5389ccd4e4c88ad6611fd0ccf7544d3e65"
"\dists\trixie\main\i18n\Translation-fr.gz","73333","5/16/2026 10:12:21 AM","SHA256","c5e95a555b547c0c30de09f6c39be5b03b47ffeb8c4e58432eae171854d6a6eb"
"\dists\trixie\main\i18n\Translation-gl.gz","781","5/16/2026 10:12:24 AM","SHA256","cd8a64c8301a79c2a705a4be7c648b96cfbd68831454289b16f606d545bfd560"
"\dists\trixie\main\i18n\Translation-hr.gz","3250","5/16/2026 10:12:19 AM","SHA256","a40ed271e7ba435648307e0d1066628094c8e5f3dddc55c2bff4e492e18d5b57"
"\dists\trixie\main\i18n\Translation-hu.gz","3519","5/16/2026 10:12:22 AM","SHA256","064aeffbfa91f5fbbe742bad3a6df4a5e267c202d8ffd5e813b2a13dadbba43c"
"\dists\trixie\main\i18n\Translation-id.gz","1150","5/16/2026 10:12:23 AM","SHA256","b70c0288c17ab49b48f0fb50a9ec5a1c1e5a647c79e69c84896b6c85c9375210"
"\dists\trixie\main\i18n\Translation-it.gz","76747","5/16/2026 10:12:18 AM","SHA256","81844eaee0546edb24c9409857da54a7c8d82036428c957f03f3a320a4148cae"
"\dists\trixie\main\i18n\Translation-ja.gz","65038","5/16/2026 10:12:19 AM","SHA256","44d6821541479b4c68806adc59a8dbb660b784b84bf7acfbfca9f8332c56527b"
"\dists\trixie\main\i18n\Translation-km.gz","2336","5/16/2026 10:12:22 AM","SHA256","7e4dbdf1ec0b0daef6ddc964323fe30e72a05e5c6d895b8c63890e5e58ca37b6"
"\dists\trixie\main\i18n\Translation-ko.gz","46331","5/16/2026 10:12:20 AM","SHA256","6c36e98c97b7a0a62771add0adf4888632f75bca0afd3d428646dabe174662a7"
"\dists\trixie\main\i18n\Translation-nb.gz","700","5/16/2026 10:12:25 AM","SHA256","93dd85f2659b595e1060ac206ab9d67ad60e111c24447d989bf4fe89e1a0ce27"
"\dists\trixie\main\i18n\Translation-nl.gz","6116","5/16/2026 10:12:19 AM","SHA256","b3ae9cdecc6e23c4bd71013afb0032ad2a4883457f2cc7ca9dd6e574579d83f1"
"\dists\trixie\main\i18n\Translation-pl.gz","68149","5/16/2026 10:12:18 AM","SHA256","792e269b76ab85ae23ec7c7ba95ccbdf1f26fba295371cf361f6b18907f37c6f"
"\dists\trixie\main\i18n\Translation-pt_AO.gz","242","5/16/2026 10:12:24 AM","SHA256","4d1aeb80fc6288c499bc568237521d041ea6ba53f11d65696042fb6e2f58fd9d"
"\dists\trixie\main\i18n\Translation-pt_BR.gz","69986","5/16/2026 10:12:21 AM","SHA256","7b7c2901c60e3d22708b3a2905d99fba0d7529c7dbf9cdb4f0c776e082347c6a"
"\dists\trixie\main\i18n\Translation-pt.gz","23563","5/16/2026 10:12:20 AM","SHA256","46792f13d4563e487e3cd245c74490e214f49c256f7705142ad19da48472401c"
"\dists\trixie\main\i18n\Translation-ro.gz","922","5/16/2026 10:12:23 AM","SHA256","99b261885794f9a4049643f2d2f035d7dc62e3bd79fe0e03c1d2e4eacadd9d49"
"\dists\trixie\main\i18n\Translation-ru.gz","69107","5/16/2026 10:12:19 AM","SHA256","cc47fe8162f6d2a9779a71e6a8d9cc3f11fdc74e2125fa6e783afc7639fe7b33"
"\dists\trixie\main\i18n\Translation-sk.gz","57030","5/16/2026 10:12:18 AM","SHA256","1961731fac7207eabd61d3db5f858b82d7518ed2798c57af1a30dab534652d17"
"\dists\trixie\main\i18n\Translation-sr.gz","16829","5/16/2026 10:12:21 AM","SHA256","7159931810d6781537c5aa05b6d8b43afeb6c4beedc62a314cbf0e97b77029a7"
"\dists\trixie\main\i18n\Translation-sv.gz","8750","5/16/2026 10:12:22 AM","SHA256","dc3a665f999e90b40017e9d2658ca00b58294950a80658204c765159396bb654"
"\dists\trixie\main\i18n\Translation-tr.gz","2237","5/16/2026 10:12:24 AM","SHA256","40d0257e448d2ab38baf8e72b73bce23df3d795ca9664747d2bad1c7ed7d7552"
"\dists\trixie\main\i18n\Translation-uk.gz","56417","5/16/2026 10:12:21 AM","SHA256","847859b6bed86ac46a53cf2c6f523f21a5dd2c07f0a8a7baa899969466822713"
"\dists\trixie\main\i18n\Translation-vi.gz","5112","5/16/2026 10:12:23 AM","SHA256","e3f96d6458ccfadb42a5eb5a3110ba7d7237b38f9202b6ee22a57f902fc72be4"
"\dists\trixie\main\i18n\Translation-zh_CN.gz","45387","5/16/2026 10:12:18 AM","SHA256","c6b46db038510299a48cabb1ef4854cb9ac9b5b0ce86200fa20c93abf57b29fe"
"\dists\trixie\main\i18n\Translation-zh_TW.gz","5207","5/16/2026 10:12:21 AM","SHA256","d2691a04405bf4fadc7e361324d12678c7aa2f26bc5fd8e4529f56c83632c808"
"\dists\trixie\main\i18n\Translation-zh.gz","1157","5/16/2026 10:12:22 AM","SHA256","d37c68e4d1f8cd5c2554399ec53d79def4b8f10751702d9d421478ba3496724a"
"\dists\trixie\non-free-firmware\binary-amd64\Packages.gz","5242","5/16/2026 10:12:25 AM","SHA256","eb00df1d70ed1692c738e2a68f2097fed6f439ee500e64c421bb60915c61b395"
"\dists\trixie\Release","20936","5/16/2026 10:12:25 AM","SHA256","5313519976f4b1ff3d051e89ab107c09af82fc01502e4f47aca30e0d8fcbe3c4"
"\doc\00-INDEX","995","2/7/2009 12:32:23 AM","SHA256","d9a98122f68b70f8d61e42efdd203140d2215d4a58b9a93a67ddaa2f2901f615"
"\doc\bug-log-access.txt","2469","7/18/2025 7:53:47 PM","SHA256","ec6c92fed52caa69fbed49a4e79a53464797dc1d61683c3aaa5efe97d6b1cb89"
"\doc\bug-log-mailserver.txt","8903","7/18/2025 7:53:48 PM","SHA256","10c5f8a12c5639d01cd9fa3dc9fe1527ce85fb26bd143c726469de2385286fe7"
"\doc\bug-mailserver-refcard.txt","3033","10/2/2025 1:53:39 PM","SHA256","4900e85c306329dde3e8a7c0de4d589600b62aebbfea12f4ff05a25d74b70512"
"\doc\bug-maint-info.txt","20211","5/4/2026 1:54:02 PM","SHA256","3d6b5a30871eb3794cadec8c7828985a71a725d38764bf138a9c2af47595669f"
"\doc\bug-maint-mailcontrol.txt","21826","10/2/2025 1:53:39 PM","SHA256","73cb3d6d4b427616292b7bd0a3e136db55e6de25fcaf27532a68767127990af5"
"\doc\bug-reporting.txt","17730","12/11/2025 1:52:15 AM","SHA256","948fa03a982a8c8f88e6e3c8e80166f2f50fdc64004d989498d7ee900cae49de"
"\doc\constitution.txt","31955","8/28/2016 3:37:30 PM","SHA256","bf556f2dd659f6332ce14ad2581c66a2921dbd8b2fec2739b363e3b1cc49cb3a"
"\doc\debian-manifesto","7038","12/24/2013 10:13:14 AM","SHA256","bf8a9e78e34f57506e7ac73c11c802dbfb1c68db11f79a4e40ae597c24797c63"
"\doc\FAQ\debian-faq.en.html.tar.gz","97883","4/5/2022 5:18:59 PM","SHA256","94898a8391d3b7051a462b281de7dec0e5a3743802ac2ef7cd4e9d46a54ff406"
"\doc\FAQ\debian-faq.en.pdf.gz","365583","4/5/2022 5:19:01 PM","SHA256","d20b90e577a051eb7b2f96a7ebb682c803f2e9ce16fb7381d7340a544a1c83c6"
"\doc\FAQ\debian-faq.en.txt.gz","58333","4/5/2022 5:19:03 PM","SHA256","e2a22b6f8e2d6cd453514d7f8f3e5dde36e839560cd2d453a9c778cb23c83ab1"
"\doc\FAQ\html\basic-defs.en.html","18009","11/23/2021 10:01:38 PM","SHA256","2eddec6dfc904c2274e587a48b1dbf888ee09c668f9d7bf5d70ae3c406b2c822"
"\doc\FAQ\html\choosing.en.html","30650","11/23/2021 10:01:38 PM","SHA256","145fcb9b64ab58d9b58df3539a4d7e9c701c6ee544776fec03c93927afe803e0"
"\doc\FAQ\html\compatibility.en.html","17300","11/23/2021 10:01:38 PM","SHA256","1440c33ea96cc9458725f7d313b038c8a2cc71599e0243fa6a5ee882456745d1"
"\doc\FAQ\html\contributing.en.html","8172","11/23/2021 10:01:39 PM","SHA256","e0f97e7053deb62ced14eca9b00bf5f9dd7d1c210ea658b66fdba8780e814254"
"\doc\FAQ\html\customizing.en.html","24028","11/23/2021 10:01:39 PM","SHA256","e0454b9519257309e236b5347ce41ec3b61b867ba7b548e3d8c8fa9bf53ffbe1"
"\doc\FAQ\html\debian.css","4369","11/23/2021 10:01:38 PM","SHA256","4ed0a3923c3b44afecd28cd9f669be15fe60bbd4da24a9dbce81f1be983e8686"
"\doc\FAQ\html\faqinfo.en.html","7051","11/23/2021 10:01:39 PM","SHA256","89b344ad7a6a8c641d31c3eb78a134cb9dc740fbee5702a35d203f8a8c85bd95"
"\doc\FAQ\html\ftparchives.en.html","27741","11/23/2021 10:01:38 PM","SHA256","a6b992af9d5ab6c4e5267af5f4b16ceb599f9d5ba23e1349d1493927c8fc965d"
"\doc\FAQ\html\getting-debian.en.html","10442","11/23/2021 10:01:38 PM","SHA256","62f8500b833dacf2e744aef56b6f9443ccd0c22f6c71c252edd0a59aa601fa9e"
"\doc\FAQ\html\images\annot-close.png","207","11/23/2021 10:02:40 PM","SHA256","4b94b2c15465cf1ecfe006832f24e22712ecc42a5003a986c99d739af6f3650e"
"\doc\FAQ\html\images\annot-open.png","837","11/23/2021 10:02:40 PM","SHA256","fba47a3b1bc501df16d8934d16da0c8f85cf51923be50d5fd22f22116e933a5c"
"\doc\FAQ\html\images\blank.png","374","11/23/2021 10:01:38 PM","SHA256","405a1291d17d2dbe9e9466e954bd6eb4003ea548e1e54bb5e08618c4634a0712"
"\doc\FAQ\html\images\caution.png","1250","11/23/2021 10:01:38 PM","SHA256","46751d5258726b4a656aa124a9503f5a5dfbfaafb30a751b4dd28e0a81bd8584"
"\doc\FAQ\html\images\draft.png","16150","11/23/2021 10:01:38 PM","SHA256","f421b5c5f6e6e22a28c5d6c229a84dcceaf22b10736f9e407209b1c0203c70e0"
"\doc\FAQ\html\images\home.png","1156","11/23/2021 10:01:38 PM","SHA256","4e153e9cfda19dd45a84cca62cda98c84825059378e05312e2c04c253d1c3da4"
"\doc\FAQ\html\images\important.png","722","11/23/2021 10:01:38 PM","SHA256","0e9c96a5bffb8cf85e60f04013cee92c2c6fe035c433c6cf3b34675b68317325"
"\doc\FAQ\html\images\next.png","1150","11/23/2021 10:01:38 PM","SHA256","b434e58853769b7ec4c7f8659114f088b7721727a9e3442bb3a8f14fc2c87979"
"\doc\FAQ\html\images\note.png","490","11/23/2021 10:01:38 PM","SHA256","50b70e6738703b77c37e69c92453c272ac4d4f5fb0af660096c705fe3b3bb7ea"
"\doc\FAQ\html\images\prev.png","1132","11/23/2021 10:01:38 PM","SHA256","1bdcd1385d2518dac1218d843c1615a52a57e6e72c9d6af6b2cac013a2f2380c"
"\doc\FAQ\html\images\tip.png","449","11/23/2021 10:01:38 PM","SHA256","2b15a81dcbbe904f31cb02de791c7c3ddc4ea641ad47a1a76ee17a4a78298d53"
"\doc\FAQ\html\images\toc-blank.png","318","11/23/2021 10:01:38 PM","SHA256","3d2532562e3857fcd4b6dab8a2d26899dd176c3e5e02acc923e93376c409419a"
"\doc\FAQ\html\images\toc-minus.png","259","11/23/2021 10:01:38 PM","SHA256","4e8db41e0362fd6e2d4a245669e1e690551efb410730188424a523d978d0a984"
"\doc\FAQ\html\images\toc-plus.png","264","11/23/2021 10:01:38 PM","SHA256","c3d13f969c5fc93db1bbdf1a0a20049f37745d9cf75c3a1a6b2ae1913d70c52f"
"\doc\FAQ\html\images\up.png","1111","11/23/2021 10:01:38 PM","SHA256","b94ebd8431f86d2afed95a117a7df541d8b1e01cc6fc45eec57215f75af330d4"
"\doc\FAQ\html\images\warning.png","1241","11/23/2021 10:01:38 PM","SHA256","5de66420a0c84b49d14caff2d305b28b035a1603a114db4b52f0d83f5e7f9580"
"\doc\FAQ\html\index.en.html","27013","11/23/2021 10:01:39 PM","SHA256","95c0ee96531c793215e1284e69216cf5c75947b8c9f2ab1ca863e375ab66744a"
"\doc\FAQ\html\kernel.en.html","7001","11/23/2021 10:01:38 PM","SHA256","eca6626bc649787581416d22b466c44c91d6fae05b5188f33e83c40a56cc4ac5"
"\doc\FAQ\html\nextrelease.en.html","8803","11/23/2021 10:01:39 PM","SHA256","c44bf907db9ad57714440ea969f8ca587b6df786bf1287d0d05c84d070e211c5"
