"RecordType","Path","Size","Modified","ShortSha256","RpmPath","Name","Version","Release","Epoch","Architecture","License","Summary","SourceRpm","PayloadFormat","PayloadCompressor","PackagedFilePath","ParseStatus","ParseError"
"ISOFile","\.disk\base_components","5","5/16/2026 10:10:55 AM","6403203dd5a0","","","","","","","","","","","","","",""
"ISOFile","\.disk\base_installable","0","5/16/2026 10:12:17 AM","e3b0c44298fc","","","","","","","","","","","","","",""
"ISOFile","\.disk\cd_type","13","5/16/2026 10:10:55 AM","42e919327bb7","","","","","","","","","","","","","",""
"ISOFile","\.disk\id\ceae4431-902d-44e7-81b2-084efdfc27a0","0","5/16/2026 10:11:06 AM","e3b0c44298fc","","","","","","","","","","","","","",""
"ISOFile","\.disk\info","86","5/16/2026 10:10:55 AM","23db6d8c389c","","","","","","","","","","","","","",""
"ISOFile","\.disk\mkisofs","1136","5/16/2026 10:12:45 AM","c44b1e7e4d24","","","","","","","","","","","","","",""
"ISOFile","\.disk\udeb_include","34","5/16/2026 10:10:55 AM","7877f887a1ac","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\efi.img","3686400","5/16/2026 10:11:06 AM","64819c8a0c6f","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\font.pf2","5012","4/30/2026 7:02:01 PM","556e49a42fc9","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\grub.cfg","6115","5/16/2026 10:11:06 AM","6abdd000221f","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\1","1418","5/16/2026 10:11:06 AM","84a22ba8fcd3","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\1-1","1865","5/16/2026 10:11:06 AM","58f97e0dc921","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\1-1-1","2074","5/16/2026 10:11:06 AM","09eddde45101","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\1-2","1880","5/16/2026 10:11:06 AM","ba3eb736f98e","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\1-2-1","2074","5/16/2026 10:11:06 AM","dbe8235965f3","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\dark-1","1380","5/16/2026 10:11:06 AM","e9bef42ce2c2","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\dark-1-1","1827","5/16/2026 10:11:06 AM","7e47a22ad89e","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\dark-1-1-1","2036","5/16/2026 10:11:06 AM","1a169b27b21f","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\dark-1-2","1842","5/16/2026 10:11:06 AM","c8ea5583a1f9","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\dark-1-2-1","2036","5/16/2026 10:11:06 AM","60b5a4ca7f2a","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\theme\hl_c.png","263","5/16/2026 10:11:06 AM","b886b176d2f6","","","","","","","","","","","","","",""
"ISOFile","\boot\grub\x86_64-efi\grub.cfg","27","5/16/2026 10:11:06 AM","17ff22e33409","","","","","","","","","","","","","",""
"ISOFile","\css\debinstall-print.css","1137","6/12/2023 8:21:54 AM","b10e84b0a49b","","","","","","","","","","","","","",""
"ISOFile","\css\debinstall.css","4501","6/12/2023 8:21:54 AM","a4dbb17510e1","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\contrib\binary-amd64\Packages.gz","827","5/16/2026 10:12:25 AM","fb8b8377fbbc","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\contrib\binary-amd64\Release","119","5/16/2026 10:10:56 AM","367403d3a85e","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\binary-amd64\Packages.gz","98925","5/16/2026 10:12:17 AM","ed2146dee328","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\binary-amd64\Release","116","5/16/2026 10:10:56 AM","1b51ce6b4a5d","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\debian-installer\binary-amd64\Packages.gz","37253","5/16/2026 10:12:17 AM","22671f26b6d2","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\debian-installer\binary-amd64\Release","116","5/16/2026 10:10:56 AM","1b51ce6b4a5d","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-ar.gz","1920","5/16/2026 10:12:24 AM","485fa959762e","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-ca.gz","1540","5/16/2026 10:12:22 AM","abdaf4a0fca3","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-cs.gz","15704","5/16/2026 10:12:22 AM","e9606db6da5d","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-da.gz","75405","5/16/2026 10:12:19 AM","4bf2c4600529","","","","","","","","","","","","","",""
